,scluster6,Year,Median,BN
0,0,1950,20.195555566666666,6.241088888888888
1,0,1955,19.719999944444446,6.387011111111112
2,0,1960,19.019999922222222,6.487266666666667
3,0,1965,18.116666588888886,6.386444444444444
4,0,1970,17.8111112,6.047000000000001
5,0,1975,18.0977777,5.594788888888889
6,0,1980,18.736666655555556,5.155388888888889
7,0,1985,19.436666666666667,4.704077777777778
8,0,1990,20.177777833333334,4.162044444444445
9,0,1995,21.098888877777778,3.6088999999999998
10,0,2000,22.2488888,3.1435666666666666
11,0,2005,23.631111044444445,2.8524222222222226
12,0,2010,25.19111108888889,2.7058444444444447
13,0,2015,26.725555522222223,2.5816333333333334
14,0,2020,28.266666722222222,2.439111111111111
15,1,1950,18.9,6.9544999999999995
16,1,1955,18.9,6.979
17,1,1960,18.5500005,6.95
18,1,1965,20.3500005,6.913
19,1,1970,22.3500005,6.782500000000001
20,1,1975,24.3000005,6.2855
21,1,1980,24.8000005,5.6555
22,1,1985,26.5999995,5.032
23,1,1990,27.700001,4.233499999999999
24,1,1995,28.3999995,3.503
25,1,2000,29.3,2.9400000000000004
26,1,2005,30.3999995,2.365
27,1,2010,31.8499995,1.9445
28,1,2015,32.3500005,1.7349999999999999
29,1,2020,32.95,1.5979999999999999
30,2,1950,27.128571314285715,3.097971428571429
31,2,1955,27.58571442857143,3.0901428571428573
32,2,1960,27.931428542857144,2.983085714285714
33,2,1965,28.32571437142857,2.7474285714285713
34,2,1970,29.07999977142857,2.5132285714285714
35,2,1975,29.61999982857143,2.329685714285714
36,2,1980,30.494285428571427,2.153257142857143
37,2,1985,31.582857,2.0431714285714286
38,2,1990,32.89714262857143,1.9098857142857144
39,2,1995,34.33999997142857,1.7141714285714287
40,2,2000,35.797143142857145,1.5774000000000001
41,2,2005,37.228571085714286,1.6029142857142855
42,2,2010,38.53428568571428,1.6567714285714286
43,2,2015,39.84000005714286,1.6341714285714286
44,2,2020,41.16571448571429,1.617
45,3,1950,21.3785715,5.078214285714286
46,3,1955,20.98571425,5.054321428571428
47,3,1960,20.41785717857143,4.94175
48,3,1965,19.910714357142858,4.49775
49,3,1970,20.40357142857143,3.807607142857143
50,3,1975,21.432142785714287,3.0682857142857145
51,3,1980,23.396428642857142,2.5297142857142854
52,3,1985,25.19642817857143,2.343357142857143
53,3,1990,27.199999785714287,2.1770714285714283
54,3,1995,29.424999964285714,1.9590357142857144
55,3,2000,31.610714035714288,1.7933571428571429
56,3,2005,33.56428617857143,1.7431785714285712
57,3,2010,35.59285764285714,1.7491785714285715
58,3,2015,37.41428582142857,1.7232857142857143
59,3,2020,39.071428714285716,1.6844642857142857
60,4,1950,19.701960666666665,6.594333333333333
61,4,1955,19.2745098627451,6.62
62,4,1960,18.8627451372549,6.714078431372549
63,4,1965,18.350980470588233,6.829843137254902
64,4,1970,17.894117725490197,6.9142745098039216
65,4,1975,17.505882352941175,6.950450980392157
66,4,1980,17.241176392156863,6.916196078431373
67,4,1985,17.007843137254902,6.789627450980393
68,4,1990,16.933333196078433,6.536549019607842
69,4,1995,17.12941180392157,6.226176470588235
70,4,2000,17.237254921568628,5.9328039215686275
71,4,2005,17.53921554901961,5.624098039215687
72,4,2010,17.86862743137255,5.268882352941177
73,4,2015,18.25098033333333,4.8726078431372555
74,4,2020,18.839215705882353,4.49021568627451
75,5,1950,33.4000003125,2.3016875
76,5,1955,33.474999875,2.3470625
77,5,1960,34.125,2.442125
78,5,1965,34.0874995,2.4169375
79,5,1970,33.8500001875,2.168125
80,5,1975,33.893750875,1.8811875
81,5,1980,34.46875,1.720625
82,5,1985,35.393749625,1.7143125000000001
83,5,1990,36.1250003125,1.7128125
84,5,1995,36.9312504375,1.5963749999999999
85,5,2000,38.1749999375,1.5150000000000001
86,5,2005,39.4749995625,1.59525
87,5,2010,40.54374975,1.6603125
88,5,2015,41.5812505625,1.6465625
89,5,2020,42.4812500625,1.657375
